iter	Passed	Remaining
1153	1845	6149
1154	1846	6146
1155	1848	6145
1156	1849	6143
1157	1851	6141
1158	1852	6139
1159	1854	6138
1160	1855	6136
1161	1857	6134
1162	1858	6132
1163	1860	6130
1164	1861	6129
1165	1863	6127
1166	1864	6125
1167	1866	6123
1168	1868	6122
1169	1869	6120
1170	1871	6118
1171	1872	6115
1172	1873	6114
1173	1875	6112
1174	1877	6110
1175	1878	6109
1176	1880	6107
1177	1881	6105
1178	1883	6103
1179	1884	6101
1180	1886	6099
1181	1887	6097
1182	1889	6095
1183	1890	6092
1184	1891	6091
1185	1893	6088
1186	1894	6087
1187	1896	6084
1188	1897	6083
1189	1899	6081
1190	1900	6079
1191	1902	6077
1192	1903	6075
1193	1905	6073
1194	1906	6071
1195	1908	6069
1196	1909	6067
1197	1911	6064
1198	1912	6062
1199	1913	6060
1200	1915	6058
1201	1916	6055
1202	1917	6053
1203	1919	6051
1204	1920	6049
1205	1922	6048
1206	1923	6046
1207	1925	6043
1208	1926	6041
1209	1928	6039
1210	1929	6037
1211	1931	6035
1212	1932	6033
1213	1934	6031
1214	1935	6030
1215	1937	6029
1216	1938	6027
1217	1940	6025
1218	1941	6023
1219	1943	6021
1220	1944	6019
1221	1946	6017
1222	1947	6015
1223	1949	6013
1224	1950	6011
1225	1952	6009
1226	1953	6007
1227	1955	6005
1228	1956	6003
1229	1957	6001
1230	1959	5998
1231	1960	5997
1232	1962	5995
1233	1963	5993
1234	1965	5990
1235	1966	5988
1236	1968	5986
1237	1969	5984
1238	1970	5982
1239	1972	5980
1240	1973	5978
1241	1975	5977
1242	1976	5975
1243	1978	5973
1244	1979	5971
1245	1981	5969
1246	1982	5967
1247	1984	5965
1248	1985	5963
1249	1987	5961
1250	1988	5959
1251	1990	5957
1252	1991	5955
1253	1993	5953
1254	1994	5951
1255	1995	5949
1256	1997	5948
1257	1999	5946
1258	2000	5944
1259	2002	5942
1260	2003	5940
1261	2004	5938
1262	2006	5935
1263	2008	5935
1264	2009	5933
1265	2011	5931
1266	2012	5929
1267	2014	5927
1268	2015	5925
1269	2017	5924
1270	2018	5923
1271	2020	5922
1272	2022	5921
1273	2024	5919
1274	2026	5920
1275	2028	5918
1276	2029	5918
1277	2031	5916
1278	2033	5915
1279	2035	5915
1280	2037	5914
1281	2038	5912
1282	2040	5910
1283	2041	5908
1284	2043	5906
1285	2044	5904
1286	2046	5902
1287	2047	5901
1288	2049	5899
1289	2050	5898
1290	2052	5896
1291	2053	5894
1292	2055	5892
1293	2056	5889
1294	2058	5890
1295	2060	5888
1296	2061	5886
1297	2063	5884
1298	2064	5882
1299	2066	5880
1300	2067	5878
1301	2069	5876
1302	2070	5874
1303	2071	5872
